Participant Number,Q1_PS,Q2_NV,Q3_CLARITY,Q4_EXAMPLE,Q5_ENTHU,Q6_CONF,COMMENTS,Notes,CODER_NOTES,INT_ORGANIZATION,INT_TYPE_TECH,INT_TYPE_NOT_TECH,ORG_TYPE,INTERNSHIP/FULL TIME
P1,4,4,4,4,3,3,"Very good interview. Encouraged to add new MS course work and undergrad web dev. projects to resume - go to 2 pages because this is real relevant to work experience.  Bring out desired focus areas of Computer Networking (SDN) and data sceince/ machine learning, to stand out on both resume and in interview. Great poise and communication style on white boarding exercise- asked clarifying questions.",Communication on whiteboard,,C2_LAW,1,0,,Internship
P2,3,3,3,3,3,3,Speak-up more during problem solving to highlight problem solving skills. Bring more enthusiasm to let passion shine through. Practice standard interview questions prepare good questions in advance and close th interview. I'll be in touch regarding internship.,Speak up,,C7_OPS,1,0,,Internship
P3,4,4,3.5,3,4,4,Very smart & engaging. Suggest practicing some standard interview questions to be ready with well structured answers. Have good questions ready and close the interview. Continue to let your enthusiasm and passion for tech shine through. Great Job and Good Luck!,Prepared questions ,,C7_OPS,2,0,,Internship
P4,3,4,4,3,4,4,NA,,,C5_STS ,1,0,,Internship
P5,4,2,3,3,2,4,NA,,,C5_STS ,1,0,,Internship
P6,3,3,4,3,3,3,"Well spoken, intelligent guy. Initial walked me through  solution. Did no preplan.  2nd example - no discussion or planning",Discussion and planning,,C5_STS ,1,0,,Full Time
P7,3,4,3,4,3,4,"Calm, intelligent, asked questions, planned",Asked questions and planned,,C5_STS ,1,0,,Internship
P8,NA,3,2,2,3,3,"Communication sometimes was too fast and difficult to understand with accent. Could benefit from practicing more standard interview questions to deliver crisper, more structured and more compelling answers. Have good questions  prepared to ask at the end. Clean up resume with feedback from interview.",Steady communication; prepared questions,* had additional comments on example questions on sheet,C7_OPS,1,0,,Full Time
P9,3,3,3,2,2,3,He showed great confidence in software knowledge but struggled to work through problems that were indirectly tied to software. The cadidate stayed serious and rarely took the time to converse and get comfortable. It was very question answer question answer.,Confident in software knowledge; too serious ,,C7_OPS,2,0,,Full Time
P10,3,4,3,4,4,4,It may have been a little early in the education process for a technical interview. Speak Slowly and clearly. Very enthusiastic and personable! :),Early career interview ,,C7_OPS,1,0,,Internship
P11,3,4,4,3,4,3,"Put your ""key responsibilities handled' section at the very top of your resume or underneath the ""technical skills"" section. These two sections are the most important on your resume and should be seen first. Split up your work history by company, putting the movest recent first, instead of having it all bulleted in one section. Get rid of the reference to waterfall. Agile is the primary methodology these days and waterfall is the very much looked down upon. Look into rails.....",Do not reference waterfall methods,* had more but was cut off.,C7_OPS,2,0,,Internship
P12,4,4,4,3,4,4,Very enthusiastic and engaging. Did well on design question asked lots of good clarifying questions. Demonstrated logical thinking and ability to handle complexity. Interested in portraying personal evolution from electrical engineering to general comp sci. No specialization in mind yet.,logical thinking,,C2_LAW,1,0,,Full Time
P13,4,4,4,4,4,4,"Excellent all around. Articulate, enthusiastic, confident. Thoughtful answer to design question the only one to bring up business implications of the solution (this is rare for comp sci students)",Design & implication thinking,,C2_LAW,1,0,,Full Time
P14,4,4,4,4,4,4,"Great all around! Excellent communication and enthusiasm. Did very well on technical design architecture questions. Thought of things most applicants neglect, like load balancing, performance, quality variability, etc. Asked good questions and took notes.",Design & implication thinking,,C2_LAW,1,0,,Internship
P15,4,3,4,4,3,4,He was extremely confident. Answered the questions exactly as designed. Demonstrated the knowledge that he has acquired in school. Calmly exprese his thoughts in a calm and cool manner.,Answered questions as designed ,,C7_OPS,2,0,,Full Time
P16,3,3,3,3,3,3,Solid skills. A few mishaps in talking about teams and past experiences. Overall problem solving and software knowledge on par.,Past team experiences,,C7_OPS,2,0,,Full Time
P17,3,3,3,4,3,4,Very smart and capable. Struggles with generic problem solving. It caused him to get off balance for the rest of the interview. Wasn't afraid to challenge ideas and show confidence in answers.,Challenged ideas,,C7_OPS,2,0,,Full Time
P18,3,4,4,4,4,4,"Comfortable, good eye contact; engaged. Best of all from today. He added more examples for me. Asked a lot of relevant questions that he wanted to know. I gave him some tips on phone interviews too. ",Provide examples,"*Notes for Q2,Q3,Q4,Q5",C2_LAW,1,0,,Full Time
P19,3,4,3,3,3.5,4,"Enthusiasm was a 3 during interview 4 after interview when we were talking. Smile more, use hands to move around - will help ease nervousness. Ask questions - have them already thought up. ",Smile more; ask questions ,*Notes for Q5,C2_LAW,1,0,,Full Time
P20,3,4,3,4,3,4,"Suggest talking a bit louder. Ask questions. Move a bit-hands, head, etc. Awesome for a female in the IT area. She has so many possibilites for her career. Her work on category theory is similar to our work. change up resume format. ",Talk louder; ask questions,"*Notes for Q3, Q5, Q6",C2_LAW,1,0,,Internship
P21,3,4,2,4,3,3,Smiles. Moves - Animated.  A little nervous. I had trouble understanding at times. Very good crisp with examples used paper to model. Ask good questions all throughout. Had a good relaxed conversation after the interview. Nice fomat of resume. ,Smile; Trouble understanding; prepared questions ,"*Notes for Q2, Q3, Q4, Q5",C2_LAW,1,0,,Full Time
P22,NA,4,4,4,4,4,"I did not try to asses Rachit's technical skill level, but did spend a lot of time assessing soft skills, experience, decision making, etc.  I would have him continue interviewing with engineers in the real world. He did great. ",Assessing soft skills,"Professional [X], On Time [X], Prepared [X]",C3_DAT,1,0,,Internship
P23,4,4,4,4,4,4,She did very well at answering questions with clarity. Asked insightful questions. I would recommend her for further interivews in a real world situation.,Insightful questions,,C3_DAT,1,0,,Full Time
